Time(s),EAR,MAR,PUC,MOE,Vertical Tilt,Horizontal Tilt
11.4,0.23437057333113234,0.29001058744563973,0.5594573263939548,1.2374018773930973,-0.05940956994891167,-0.012272223830223083
11.417,0.23884835585810404,0.2958234214740974,0.5535610070692201,1.2385407486323303,-0.05890353210270405,-0.012402605265378952
11.433,0.23814188231024339,0.28612048784520155,0.5505771674001647,1.2014706739927974,-0.05880892649292946,-0.013358399271965027
11.45,0.24153255360526119,0.28647114350356406,0.5546245239072508,1.1860560376956326,-0.0592372789978981,-0.013127997517585754
11.467,0.23968777054209311,0.2915224955270248,0.5523758724444339,1.216259364704753,-0.06105822138488293,-0.013693083077669144
11.483,0.24407741989011172,0.28368394313183337,0.5559017098401763,1.1622703290601533,-0.060866061598062515,-0.013887550681829453
11.5,0.22857273720168536,0.29202847291581663,0.5390449119591425,1.277617254319092,-0.060016559436917305,-0.014243338257074356
11.517,0.23654344252195997,0.2885987198861389,0.5462970052815641,1.2200664571766613,-0.06025473587214947,-0.0144859179854393
11.533,0.22998715511297743,0.2784291453936682,0.5455584235281049,1.2106291121210417,-0.060268087312579155,-0.014731168746948242
11.55,0.2295556418763719,0.2908791111218068,0.5415816592997292,1.2671398914188348,-0.06113281473517418,-0.015023786574602127
11.567,0.2155348463169925,0.29476207304770446,0.5279860081656562,1.3675843052041363,-0.06096204183995724,-0.015604071319103241
11.583,0.22092918261364064,0.2954240399696793,0.5327698211097429,1.3371888515349044,-0.06112736463546753,-0.01517573744058609
11.6,0.21224717184456088,0.2972318984586619,0.5277527770557745,1.4004045183524967,-0.06020154990255833,-0.01615188643336296
11.617,0.2112769854144786,0.29452803527353943,0.5251944153497992,1.3940374750034452,-0.06061256863176823,-0.016049325466156006
11.633,0.2087137551366821,0.28487499020502344,0.52000770953944,1.364907598056798,-0.059911973774433136,-0.016337186098098755
11.65,0.2034750269963052,0.28838558528011304,0.5179435860856485,1.4173021109138355,-0.05984909273684025,-0.01643013209104538
11.667,0.206300302709577,0.2881805973897784,0.5202236302722345,1.396898567790615,-0.059592483565211296,-0.016380969434976578
11.683,0.20617765963730322,0.28879856942748683,0.5190904708014785,1.4007267806586121,-0.059146907180547714,-0.016224581748247147
11.7,0.20936467592775432,0.2930621855307599,0.5224814949628545,1.3997690118073556,-0.0589264128357172,-0.01642102375626564
11.717,0.20220375547462904,0.2896180584999565,0.520458075395693,1.4323080094142737,-0.05953718163073063,-0.016647059470415115
11.733,0.20221087255503667,0.2885265238103664,0.519227830893443,1.4268595954544274,-0.059905240312218666,-0.016453035175800323
11.75,0.19955347238947757,0.29417608678527785,0.5164864877415924,1.4741717258175344,-0.05930839665234089,-0.017016805708408356
11.767,0.19934531523272248,0.2964847083024705,0.5178277166465797,1.4872920788549466,-0.05950988829135895,-0.016957584768533707
11.783,0.20375025719073103,0.2839916036206243,0.5210204269119284,1.393822062049125,-0.06094992533326149,-0.016968373209238052
11.8,0.2021287516267532,0.28421187363989514,0.5230937618443889,1.4060932517147038,-0.06132444925606251,-0.016928188502788544
11.817,0.20860586016877053,0.2880989127436689,0.5343101540393331,1.3810681661128086,-0.06023034453392029,-0.016013935208320618
