Fri Aug  4 14:28:59 2023||-0.204 0.060 -0.977 0.873 0.029 -0.023
Fri Aug  4 14:28:59 2023||-0.201 0.062 -0.971 1.005 0.169 0.854
Fri Aug  4 14:28:59 2023||-0.200 0.060 -0.971 0.940 -0.136 0.316
Fri Aug  4 14:28:59 2023||-0.201 0.060 -0.981 0.889 0.064 -0.050
Fri Aug  4 14:28:59 2023||-0.194 0.058 -0.975 0.986 -0.033 0.538
Fri Aug  4 14:28:59 2023||-0.201 0.059 -0.977 1.000 -0.033 0.075
Fri Aug  4 14:29:00 2023||-0.198 0.058 -0.979 0.964 -0.052 -0.059
Fri Aug  4 14:29:00 2023||-0.198 0.062 -0.979 0.955 -0.012 0.141
Fri Aug  4 14:29:00 2023||-0.195 0.057 -0.978 0.978 -0.032 0.167
Fri Aug  4 14:29:00 2023||-0.202 0.062 -0.977 0.979 -0.012 0.111
Fri Aug  4 14:29:00 2023||-0.200 0.059 -0.979 0.969 -0.016 0.155
Fri Aug  4 14:29:00 2023||-0.200 0.059 -0.974 0.988 -0.007 0.154
Fri Aug  4 14:29:00 2023||-0.200 0.061 -0.979 0.980 -0.015 0.130
Fri Aug  4 14:29:00 2023||-0.201 0.058 -0.984 0.980 -0.014 0.125
Fri Aug  4 14:29:00 2023||-0.200 0.060 -0.982 0.972 -0.061 0.167
Fri Aug  4 14:29:00 2023||-0.201 0.059 -0.975 1.008 -0.026 0.088
Fri Aug  4 14:29:00 2023||-0.202 0.061 -0.975 1.054 0.103 0.610
Fri Aug  4 14:29:00 2023||-0.203 0.060 -0.980 0.995 -2.000 1.999
Fri Aug  4 14:29:01 2023||-0.199 0.061 -0.982 0.790 0.186 -0.607
Fri Aug  4 14:29:01 2023||-0.197 0.062 -0.980 1.065 0.230 0.205
Fri Aug  4 14:29:01 2023||-0.199 0.058 -0.984 0.751 -0.659 -0.871
Fri Aug  4 14:29:01 2023||-0.204 0.060 -0.980 0.318 -0.582 -0.676
Fri Aug  4 14:29:01 2023||-0.201 0.063 -0.973 0.428 -0.224 -1.363
Fri Aug  4 14:29:01 2023||-0.198 0.060 -0.982 0.200 -0.177 -1.094
Fri Aug  4 14:29:01 2023||-0.203 0.060 -0.985 0.043 -0.230 -0.756
Fri Aug  4 14:29:01 2023||-0.199 0.059 -0.980 -0.086 -0.010 -1.167
Fri Aug  4 14:29:01 2023||-0.201 0.061 -0.978 -0.157 -0.134 -0.906
Fri Aug  4 14:29:01 2023||-0.197 0.062 -0.975 -0.168 -0.056 -0.983
Fri Aug  4 14:29:01 2023||-0.197 0.062 -0.982 -0.185 -0.030 -1.048
Fri Aug  4 14:29:01 2023||-0.202 0.062 -0.975 -0.174 -0.061 -0.973
Fri Aug  4 14:29:02 2023||-0.198 0.060 -0.984 -0.185 -0.011 -0.796
Fri Aug  4 14:29:02 2023||-0.200 0.061 -0.978 -0.171 0.075 -1.028
Fri Aug  4 14:29:02 2023||-0.197 0.060 -0.985 -0.151 0.010 -0.997
Fri Aug  4 14:29:02 2023||-0.195 0.060 -0.983 -0.171 0.010 -0.937
Fri Aug  4 14:29:02 2023||-0.202 0.058 -0.979 -0.166 -0.017 -1.001
